world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/northernspain/astorga,Astorga,Astorga,6,15,see,Church of San Francisco,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Astorga,europe/spain/northernspain/astorga/catedral_de_astorga,0.465,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Astorga
europe/portugal/arouca,Arouca,Arouca,10,12,see,Chapel of Santa Casa da Misericórdia,0.59,candidate,has description; high-value type; strong travel term,,,Castro of Monte Valinhas,europe/portugal/arouca/castro_de_monte_valinhas,0.367,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arouca
southamerica/brazil/tubaro,Tubarão,Tubarão,4,16,see,Municipal Cultural Center,0.59,candidate,has description; high-value type; strong travel term,,,Catedral de Nossa Senhora da Piedade,southamerica/brazil/tubaro/catedral_nossa_senhora_da_piedade,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tubar%C3%A3o
europe/portugal/arouca,Arouca,Arouca,10,12,see,Monastery of Arouca,0.59,candidate,has description; high-value type; strong travel term,,,Castro of Monte Valinhas,europe/portugal/arouca/castro_de_monte_valinhas,0.465,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arouca
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Cultural and Resting Park of BU M.F. Achundov,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.296,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki
asia/thailand/chantaburi,Chantaburi,Chanthaburi,14,20,see,Old Town at Khai Noen Wong,0.59,candidate,has description; high-value type; strong travel term,,,Wat Phai Lom,asia/thailand/chantaburi/chanta_buri/wat_pak_nam_khaem_nu,0.474,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi
europe/croatia/dubrovnik,Dubrovnik,Dubrovnik,21,80,see,Old Port,0.59,candidate,has description; high-value type; strong travel term,,,Lovrijenac Fortress,europe/croatia/dubrovnik/lovrijenac_fortress,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Dubrovnik
asia/iraq/karbala,Karbala,Karbala,6,13,see,Ruins of Mujada,0.59,candidate,has description; high-value type; strong travel term,,,Library of Al-Abbas Holy Shrine,asia/iraq/karbala/library_al_abbas,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karbala
australiaandpacific/newzealand/south_island/west_coast/hokitika,Hokitika,Hokitika,4,46,see,St Mary's Catholic Church,0.59,candidate,has description; high-value type; strong travel term,,,Hokitika Gorge,australiaandpacific/newzealand/south_island/west_coast/hokitika/hokitika_gorge,0.256,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hokitika
europe/unitedkingdom/wales/snowdonia/betwsycoed,Betws-y-Coed,Betws-y-Coed,11,14,do,Narrow-gauge railways,0.59,candidate,has description; high-value type; strong travel term,,,Swallow Falls,europe/unitedkingdom/wales/snowdonia/betwsycoed/swallow_falls,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Betws-y-Coed
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Military Zone III Museum,0.59,candidate,has description; high-value type; strong travel term,,,Haiphong Museum,asia/vietnam/haiphong/haiphong_museum,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Haiphong
europe/portugal/algarve/carvoeiro,Carvoeiro,Carvoeiro,5,9,do,Percurso dos Sete Vales Suspensos,0.59,candidate,has description; high-value type; strong travel term,,,Benagil Sea Cave,europe/portugal/algarve/carvoeiro/benagil_cave,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Carvoeiro
northamerica/thecaribbean/cuba/baracoa,Baracoa,Baracoa,15,29,do,Cascada (Waterfall),0.59,candidate,has description; high-value type; strong travel term,,,Casa del Chocolate,northamerica/thecaribbean/cuba/baracoa/casa_del_chocolate,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baracoa
northamerica/costarica/jaco,Jacó,Jacó,0,26,do,Playa Hermosa,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jac%C3%B3
europe/macedonia/skopje,Skopje,Skopje,11,58,see,Marko's Castle,0.59,candidate,has description; high-value type; strong travel term,,,Macedonia Square,europe/macedonia/skopje/macedonia_square,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje
asia/bhutan/jakar,Jakar,Jakar,10,20,see,Wangduecholing Palace,0.59,candidate,has description; high-value type; strong travel term,,,Tamzhing Monastery,asia/bhutan/jakar/tamzhing_monastery,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jakar
europe/spain/canaryislands/isla_graciosa,La Graciosa,Graciosa (Canary Islands),3,18,see,Iglesia de Nuestra Señora del Carmen,0.59,candidate,has description; high-value type; strong travel term,,,Playa de las Conchas,europe/spain/canaryislands/isla_graciosa/playa_de_las_conchas,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Graciosa_%28Canary_Islands%29
asia/vietnam/vungtau,Vung Tau,Vung Tau,11,45,do,Bãi Trước,0.59,candidate,has description; high-value type; strong travel term,,,Bạch Dinh (White Villa),asia/vietnam/vungtau/bach_dinh,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vung_Tau
asia/thailand/huahin,Hua Hin,Hua Hin,41,98,see,Tham Kaeo,0.59,candidate,has description; high-value type; strong travel term,,,Hua Hin Beach,asia/thailand/huahin/hua_hin_beach,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hua_Hin
asia/pakistan/peshawar,Peshawar,Peshawar,6,12,see,Goraknath Temple,0.59,candidate,has description; high-value type; strong travel term,,,Mahabat Khan Mosque,asia/pakistan/peshawar/mahabat_khan_mosque,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Peshawar
northamerica/netherlandsantilles/saba,Saba,Saba,7,25,do,Saba Deep Dive Center,0.59,candidate,has description; high-value type; strong travel term,,,Saba National Marine Park,northamerica/netherlandsantilles/saba/saba_marine_park,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saba
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,do,Hike or bike across the river in Chompet,0.59,candidate,has description; high-value type; strong travel term,,,Grave of Henri Mouhot,asia/laos/luangprabang/grave_of_explorer,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Luang_Prabang
europe/spain/ceuta,Ceuta,Ceuta,11,29,see,Fort of El Desnarigado,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Ceuta (Santa María de la Asunción),europe/spain/ceuta/cathedral_ceuta,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta
southamerica/chile/copiapo,Copiapó,Copiapó,16,9,see,Alameda Manuel Antonio Matta,0.59,candidate,has description; high-value type; strong travel term,,,Mina San José Memorial,southamerica/chile/copiapo/mina_san_jose,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Copiap%C3%B3
europe/poland/gdynia,Gdynia,Gdynia,14,30,see,Trójmiejski park krajobrazowy,0.59,candidate,has description; high-value type; strong travel term,,,Kępa Redłowska,europe/poland/gdynia/kepa_redlowska,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gdynia
asia/india/karnataka/mysore,Mysore,Mysore,14,82,see,Jwalamukhi Tiruparasundari Temple,0.59,candidate,has description; high-value type; strong travel term,,,Karanji Lake,asia/india/karnataka/mysore/karanji_lake,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mysore
southamerica/argentina/rosario,Rosario,Rosario,7,25,see,Paseo del Siglo,0.59,candidate,has description; high-value type; strong travel term,,,Pasaje Pan,southamerica/argentina/rosario/pasaje_pan,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Rosario
northamerica/unitedstates/ohio/portsmouth,Portsmouth,Portsmouth (Ohio),6,25,see,St. Mary's Catholic Church,0.59,candidate,has description; high-value type; strong travel term,,,Shawnee State Forest,northamerica/unitedstates/ohio/portsmouth/shawnee_state_forest,0.356,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Portsmouth_%28Ohio%29
asia/thailand/chantaburi/chanta_buri,Chantaburi,Chanthaburi,14,20,do,Tham Khao Wang,0.59,candidate,has description; high-value type; strong travel term,,,Tamajun,asia/thailand/chantaburi/chanta_buri/tamajun,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chanthaburi
northamerica/mexico/xalapa,Xalapa,Xalapa,14,30,see,Jardín de Esculturas,0.59,candidate,has description; high-value type; strong travel term,,,Teatro del Estado,northamerica/mexico/xalapa/teatro_del_estado,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xalapa
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,The Sacred Enclosure,0.59,candidate,has description; high-value type; strong travel term,,,Achyutaraya Temple,asia/india/karnataka/hampi/achyutaraya_temple,0.294,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hampi
europe/italy/marche/urbino,Urbino,Urbino,14,50,see,City Museum,0.59,candidate,has description; high-value type; strong travel term,,,Oratorio di San Giuseppe,europe/italy/marche/urbino/oratorio_san_giuseppe,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Urbino
europe/romania/piatraneamt,Piatra Neamț,Piatra Neamț,6,38,see,Bâtca Doamnei Fortress (Petrodava),0.59,candidate,has description; high-value type; strong travel term,,,Bicaz Gorge,europe/romania/piatraneamt/bicaz_gorge,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Piatra_Neam%C8%9B
europe/norway/tromso,Tromsø,Tromsø,8,63,see,The Church of Elverhøy,0.59,candidate,has description; high-value type; strong travel term,,,Tromsø Museum,europe/norway/tromso/tromso_museum,0.267,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Troms%C3%B8
asia/china/zhejiang/ningbo,Ningbo,Ningbo,50,112,see,Showsy Gallery,0.59,candidate,has description; high-value type; strong travel term,,,Dongqian Lake,asia/china/zhejiang/ningbo/dongqian_lake,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ningbo
asia/india/rajasthan/udaipur,Udaipur,Udaipur,47,77,see,Sheesh Mahal,0.59,candidate,has description; high-value type; strong travel term,,,Sadhna,asia/india/rajasthan/udaipur/sadhna_shop,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Udaipur
africa/southafrica/kimberley,Kimberley,Kimberley (Northern Cape),7,22,see,Dunluce,0.59,candidate,has description; high-value type; strong travel term,,,Duggan-Cronin Gallery,africa/southafrica/kimberley/duggan_cronin_gallery,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kimberley_%28Northern_Cape%29
southamerica/brazil/mariana,Mariana,Mariana,3,33,see,Igreja de Nossa Senhora das Mercês,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral da Sé (Nossa Senhora da Assunção),southamerica/brazil/mariana/cathedral_da_se,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mariana
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,do,Museum Area,0.59,candidate,has description; high-value type; strong travel term,,,Henan Provincial Museum,asia/china/henan_province/zhengzhou/henan_museum,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zhengzhou
