world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/rauma,Rauma,Rauma,5,63,see,Reksaari,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.20415,21.43124,Old Rauma,europe/finland/rauma/old_rauma,0.353,9.457,9.23,has_external_url,http://www.rauma.fi/matkailu/matkailupalvelut/reksaari.htm,https://en.wikivoyage.org/wiki/Rauma
europe/spain/catalonia/montserrat,Montserrat,Montserrat (Spain),4,5,see,Museum of Montserrat,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.59283,1.83615,Illes Medes Marine Reserve,europe/spain/catalonia/islas_medes,0.304,125.118,0.071,has_external_url,http://www.museudemontserrat.com,https://en.wikivoyage.org/wiki/Montserrat_%28Spain%29
asia/srilanka/nuwaraeliya,Nuwara Eliya,Nuwara Eliya,11,21,see,Hakgala Botanical Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.925356,80.821846,Galway's Land National Park,asia/srilanka/nuwaraeliya/galways_land,0.51,6.739,6.621,has_external_url,http://www.botanicgardens.gov.lk/?page_id=4380,https://en.wikivoyage.org/wiki/Nuwara_Eliya
asia/philippines/coron,Coron,Coron,16,24,do,Chindonan Island Resort & Divecenter,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,11.9331,120.0454,Coron Island,asia/philippines/coron/coron_island,0.4,21.36,18.841,has_external_url,http://www.chindonan-diveresort.com/,https://en.wikivoyage.org/wiki/Coron
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,do,New Mexico United,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.06992,-106.62885,KiMo Theatre,northamerica/unitedstates/newmexico/albuquerque/kimo_theatre,0.345,2.728,2.559,has_external_url,https://www.newmexicoutd.com/,https://en.wikivoyage.org/wiki/Albuquerque
northamerica/unitedstates/newmexico/albuquerque,Albuquerque,Albuquerque,15,137,see,ABQ BioPark Aquarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.0932,-106.679,Sandia Peak Tramway,northamerica/unitedstates/newmexico/albuquerque/sandia_peak_tramway,0.359,14.767,2.741,has_external_url,http://www.cabq.gov/culturalservices/biopark/aquarium,https://en.wikivoyage.org/wiki/Albuquerque
northamerica/mexico/guadalajara,Guadalajara,Guadalajara,43,110,see,Calaverandia - Parque Temático,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.71211,-103.37357,Avenida Chapultepec,northamerica/mexico/guadalajara/chapultepec_avenida,0.511,4.794,6.339,has_external_url,https://www.calaverandia.mx/en/,https://en.wikivoyage.org/wiki/Guadalajara
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Delicia Road Conservation Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.62035,152.85023,Noosa National Park,australiaandpacific/australia/queensland/sunshinecoast/noosa_national_park,0.531,37.028,24.462,has_external_url,http://www.queensland.com/en-sc/attraction/delicia-road-conservation-park,https://en.wikivoyage.org/wiki/Sunshine_Coast
europe/ireland/ennis,Ennis,Ennis,8,15,see,Craggaunowen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.8111,-8.7937,Brogan's,europe/ireland/ennis/brogans,0.4,13.33,13.268,has_external_url,https://www.craggaunowen.ie/,https://en.wikivoyage.org/wiki/Ennis
asia/china/ningxia/yinchuan,Yinchuan,Yinchuan,8,29,see,Ningxia Museum of Science and Technology,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.487472,106.222041,Ningxia Museum,asia/china/ningxia/yinchuan/ningxia_museum,0.519,3.209,0.403,has_external_url,http://www.nxdzkj.org.cn/kxpjxb/xqmkxszxd/kpcg/202506/t20250617_1011284.html,https://en.wikivoyage.org/wiki/Yinchuan
