world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/honduras/tegucigalpa,Tegucigalpa,Tegucigalpa,6,30,see,Museo de Historia Republicana Villa Roy,0.89,candidate,has coordinates; has description; high-value type; has external URL,14.11229,-87.20635,Parque La Leona,northamerica/honduras/tegucigalpa/parque_la_leona,0.454,0.546,3.391,has_external_url,https://www.ihah.hn/,https://en.wikivoyage.org/wiki/Tegucigalpa
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,do,Spectrum,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.249223,-0.56256,The Chestnuts,europe/unitedkingdom/england/south_east/guildford/the_chestnuts,0.353,1.917,1.686,has_external_url,http://www.guildfordspectrum.co.uk/,https://en.wikivoyage.org/wiki/Guildford
northamerica/unitedstates/arizona/lakehavasucity,Lake Havasu City,Lake Havasu City,3,11,do,Havasu Landing Resort and Casino,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.481,-114.531,Lake Havasu State Park,northamerica/unitedstates/arizona/lakehavasucity/lake_havasu_state_park,0.444,15.823,17.694,has_external_url,https://www.havasulandingresortcasino.com/,https://en.wikivoyage.org/wiki/Lake_Havasu_City
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Summit Road,0.89,candidate,has coordinates; has description; high-value type; has external URL,-43.5941,172.7486,Punting on the Avon,australiaandpacific/newzealand/canterbury/christchurch/punting_on_the_avon,0.385,11.81,11.382,has_external_url,https://www.ccc.govt.nz/rec-and-sport/cycling-tracks/road-cycling/summit-road,https://en.wikivoyage.org/wiki/Christchurch
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,do,Aukštaitija narrow gauge railway,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.7473,24.3597,Street Murals,europe/lithuania/panevezys/street_murals,0.311,,1.428,has_external_url,https://siaurukas.eu/,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Tomb of Rabbi Moshe Teitelbaum,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.38914,21.65541,Main Square (Kossuth tér),europe/hungary/satoraljaujhely/main_square,0.293,0.798,0.776,has_external_url,https://www.eahel.com/,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
europe/germany/northrhinewestphalia/essen,Essen,Essen,11,74,see,Unperfekthaus,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.4588,7.00732,Soul of Africa Museum,europe/germany/northrhinewestphalia/essen/soul_of_africa_museum,0.461,0.539,0.592,has_external_url,https://www.unperfekthaus.de/,https://en.wikivoyage.org/wiki/Essen
europe/finland/rauma,Rauma,Rauma,5,63,see,Kuuskajaskari,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.1371,21.36489,Sammallahdenmäki,europe/finland/rauma/sammallahdenmaki,0.345,21.998,7.518,has_external_url,http://www.kuuskajaskari.fi,https://en.wikivoyage.org/wiki/Rauma
northamerica/canada/britishcolumbia/golden,Golden,Golden (British Columbia),9,35,see,Northern Lights Wildlife Wolf Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.413408,-117.00945,Moonraker Trail Network,northamerica/canada/britishcolumbia/golden/moonraker_trail_network,0.271,13.312,13.078,has_external_url,https://northernlightswildlife.com/,https://en.wikivoyage.org/wiki/Golden_%28British_Columbia%29
northamerica/unitedstates/idaho/kellogg,Kellogg,Kellogg (Idaho),4,5,do,Crystal Gold Mine & RV,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.53229,-116.09206,Bunker Hill Mine and Smelting Complex,northamerica/unitedstates/idaho/kellogg/bunker_hill_mine,0.426,4.317,2.508,has_external_url,http://www.goldmine-idaho.com/,https://en.wikivoyage.org/wiki/Kellogg_%28Idaho%29
europe/unitedkingdom/wales/llandudno,Llandudno,Llandudno,14,46,do,West Shore,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.316529,-3.843378,North Shore Promenade,europe/unitedkingdom/wales/llandudno/north_shore_promenade,0.452,1.822,1.39,has_external_url,http://www.visitllandudno.org.uk/things-to-do/llandudno-west-shore-beach-p297021,https://en.wikivoyage.org/wiki/Llandudno
northamerica/canada/ontario/welland,Welland,Welland,6,29,do,Can View Drive-In,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.064131,-79.229218,Welland Canal Bridge 13,northamerica/canada/ontario/welland/welland_canal_bridge_13,0.4,8.256,8.149,has_external_url,http://www.canviewdrivein.com/canviewhome.html,https://en.wikivoyage.org/wiki/Welland
northamerica/canada/britishcolumbia/courtenay,Courtenay,Courtenay,5,30,see,Nim-Nim Interpretive Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.69709,-125.00326,Puntledge River,northamerica/canada/britishcolumbia/courtenay/puntledge_river,0.381,0.632,1.021,has_external_url,https://www.puntledgerv.ca/nim-nim-interpretive-centre,https://en.wikivoyage.org/wiki/Courtenay
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,Tourist Info Benidorm Centro,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.53481,-0.13001,Old Town,europe/spain/spanishcostas/benidorm/old_town,0.423,0.577,0.651,has_external_url,http://en.visitbenidorm.es/,https://en.wikivoyage.org/wiki/Benidorm
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,see,MuzArt,0.89,candidate,has coordinates; has description; high-value type; has external URL,1.545971,103.712608,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.229,10.779,11.36,has_external_url,https://muzart.com.my/,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york,York,York,51,165,see,Get Cycling,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.945,-1.077,Rowntree Park,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york/rowntree_park,0.524,0.476,2.304,has_external_url,https://www.getcycling.org.uk/hire,https://en.wikivoyage.org/wiki/York
southamerica/brazil/portoalegre,Porto Alegre,Porto Alegre,58,53,see,Museu de Ciências e Tecnologia da PUCRS,0.89,candidate,has coordinates; has description; high-value type; has external URL,-30.0585,-51.1759,Museu de Comunicação Social Hipólito José da Costa,southamerica/brazil/portoalegre/museu_de_comunicacao,0.469,6.154,5.988,has_external_url,http://www.pucrs.br/mct/,https://en.wikivoyage.org/wiki/Porto_Alegre
northamerica/unitedstates/pennsylvania/reading,Reading,Reading (Pennsylvania),7,17,see,Koziar’s Christmas Village,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.418,-76.144,Vanity Fair Outlets,northamerica/unitedstates/pennsylvania/reading/vanity_fair_outlets,0.267,19.12,20.486,has_external_url,https://koziarschristmasvillage.com,https://en.wikivoyage.org/wiki/Reading_%28Pennsylvania%29
