world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/crete/sitia,Sitia,Sitia,8,5,do,Richtis Gorge and Waterfall,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.16437,25.9891,Sitia Waterfront,europe/greece/crete/sitia/sitia_waterfront,0.512,11.263,11.223,has_external_url,https://www.sitia.gr/en/visitor/rixti/rixti.html,https://en.wikivoyage.org/wiki/Sitia
europe/hungary/gyor,Győr,Győr,13,201,see,Roch and St. Sebastian's Roman Catholic parish church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6875,17.6223,Bishop's Castle,europe/hungary/gyor/bishops_castle,0.4,0.6,1.002,has_external_url,http://miserend.hu/?templom=386,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/unitedstates/kentucky/frankfort,Frankfort,Frankfort (Kentucky),5,47,do,Cove Spring Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.218192,-84.848831,Buffalo Trace Distillery,northamerica/unitedstates/kentucky/frankfort/buffalo_trace_distillery,0.25,1.799,2.875,has_external_url,https://www.frankfort.ky.gov/751/Cove-Spring-Park,https://en.wikivoyage.org/wiki/Frankfort_%28Kentucky%29
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Army Museum North Queensland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-19.24,146.8026,Museum of Underwater Art,australiaandpacific/australia/queensland/townsville/museum_of_underwater_art,0.462,11.758,2.929,has_external_url,http://armymuseumnorthqueensland.webs.com/,https://en.wikivoyage.org/wiki/Townsville
northamerica/canada/newbrunswick/moncton,Moncton,Moncton,11,50,do,Magic Mountain,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.13891,-64.88753,Magnetic Hill,northamerica/canada/newbrunswick/moncton/magnetic_hill,0.519,2.4,8.074,has_external_url,https://magicmountain.ca/,https://en.wikivoyage.org/wiki/Moncton
europe/spain/galicia/santiagodecompostela,Santiago de Compostela,Santiago de Compostela,7,32,see,Museo de Historia Natural,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.8868,-8.5457,Santa Clara,europe/spain/galicia/santiagodecompostela/santa_clara,0.473,0.527,0.701,has_external_url,https://www.usc.gal/gl/museohn,https://en.wikivoyage.org/wiki/Santiago_de_Compostela
northamerica/trinidadandtobago/port_of_spain,Port of Spain,Port of Spain,9,42,see,Royal Victoria Institute,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.6629,-61.5103,Holy Trinity Cathedral,northamerica/trinidadandtobago/port_of_spain/holy_trinity_cathedral,0.478,1.179,1.278,has_external_url,http://nationaltrust.tt/location/royal-victoria-institute/,https://en.wikivoyage.org/wiki/Port_of_Spain
asia/india/orissa/bhubaneswar,Bhubaneswar,Bhubaneswar,4,59,see,Regional Museum of Natural History,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.299597,85.832059,Similipal National Park,asia/india/orissa/bhubaneswar/karanjia__similip/similipal_national_park,0.281,169.461,0.879,has_external_url,http://www.nmnh.nic.in/Bhubaneswar.htm,https://en.wikivoyage.org/wiki/Bhubaneswar
northamerica/unitedstates/florida/tampabayarea/tampa,Tampa,Tampa,14,81,do,Sky Zone Tampa,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.9428,-82.3399,Busch Gardens Tampa,northamerica/unitedstates/florida/tampabayarea/tampa/busch_gardens,0.545,13.226,11.555,has_external_url,http://www.skyzone.com/tampa,https://en.wikivoyage.org/wiki/Tampa
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,see,Seaview House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.620192,152.865643,Noosa Heads,australiaandpacific/australia/queensland/sunshinecoast/noosa_heads,0.417,34.301,22.952,has_external_url,https://environment.ehp.qld.gov.au/heritage-register/detail/?id=601467,https://en.wikivoyage.org/wiki/Sunshine_Coast
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Alisher Navoy Public Museum of Literature,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.3194,69.2595,Ankhor Park,asia/uzbekistan/tashkent/ankhor_park,0.509,0.491,1.787,has_external_url,https://www.navoimuseum.uz/en,https://en.wikivoyage.org/wiki/Tashkent
southamerica/brazil/fortaleza,Fortaleza,Fortaleza,10,87,see,Museu da Escrita,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.7457,-38.5052,Canoa Quebrada,southamerica/brazil/fortaleza/canoa_quebrada,0.333,91.478,2.503,has_external_url,http://www.museudaescrita.com.br,https://en.wikivoyage.org/wiki/Fortaleza
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,Joaquin Miller Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.811169,-122.189344,Preservation Park,northamerica/unitedstates/california/oakland/preservationpark,0.389,7.505,7.243,has_external_url,https://www.oaklandca.gov/topics/joaquin-miller-park,https://en.wikivoyage.org/wiki/Oakland
