world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/denmark/roskilde,Roskilde,Roskilde,20,59,see,Lejre Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Roskilde Museum,europe/denmark/roskilde/roskilde_museum,0.667,,,missing_coordinates; has_external_url,http://www.roskildemuseum.dk/Default.aspx?ID=111,https://en.wikivoyage.org/wiki/Roskilde,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/australia/victoria/warrnambool,Warrnambool,Warrnambool,9,15,do,Port Fairy - Warrnambool Rail Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Warrnambool Art Gallery,australiaandpacific/australia/victoria/warrnambool/warrnambool_art_gallery,0.571,,,missing_coordinates; has_external_url,https://www.railtrails.org.au/trail-descriptions/victoria?view=trail&id=160,https://en.wikivoyage.org/wiki/Warrnambool,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/massachusetts/nantucket,Nantucket,Nantucket,14,51,do,Nantucket Community Sailing,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Nantucket Whaling Museum,northamerica/unitedstates/massachusetts/nantucket/nantucket_whaling_museum,0.588,,,missing_coordinates; has_external_url,http://www.nantucketsailing.com,https://en.wikivoyage.org/wiki/Nantucket,candidate score 0.48 is below the 6.0 POI threshold
asia/japan/honshu/kanazawacity,Kanazawa,Kanazawa,12,55,see,Kaga Honda Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,National Crafts Museum,asia/japan/honshu/kanazawacity/national_crafts_museum,0.564,,,missing_coordinates; has_external_url,http://honda-museum.jp/english/,https://en.wikivoyage.org/wiki/Kanazawa,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/newzealand/south_island/otago/queenstown,Queenstown,Queenstown (New Zealand),53,57,do,Cruise on the TSS Earnslaw,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,TSS Earnslaw,australiaandpacific/newzealand/south_island/otago/queenstown/tss_earnslaw,0.706,,,missing_coordinates; has_external_url,https://www.realjourneys.co.nz/en/experiences/cruises/tss-earnslaw-steamship-cruises/,https://en.wikivoyage.org/wiki/Queenstown_%28New_Zealand%29,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,do,Summer Spanish Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Spanish Colonial Art,northamerica/unitedstates/newmexico/santafe/spanish_colonial_museum,0.588,,,missing_coordinates; has_external_url,https://www.spanishcolonial.org/,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29,candidate score 0.48 is below the 6.0 POI threshold
asia/kazakhstan/almaty,Almaty,Almaty,20,51,see,Museum of Almaty,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Archaeology,asia/kazakhstan/almaty/museum_of_archaeology,0.703,,,missing_coordinates; has_external_url,https://www.almatymuseums.kz/en/vnutrennyaya-muzeya-almaty,https://en.wikivoyage.org/wiki/Almaty,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/florida/sarasota,Sarasota,Sarasota,12,41,see,The Ringling Estate,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,The Ringling,northamerica/unitedstates/florida/sarasota/ringling_museum,0.696,,,missing_coordinates; has_external_url,https://www.ringling.org/,https://en.wikivoyage.org/wiki/Sarasota,candidate score 0.48 is below the 6.0 POI threshold
asia/japan/hokkaido/hakodate,Hakodate,Hakodate,7,31,see,Fort Hakodate Ruins,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Mount Hakodate,asia/japan/hokkaido/hakodate/mount_hakodate,0.667,,,missing_coordinates; has_external_url,http://www.hakobura.jp/db/db-view/2011/03/post-36.html,https://en.wikivoyage.org/wiki/Hakodate,candidate score 0.48 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Liceu Salesiano Nossa Senhora Auxiliadora,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Basílica Nossa Senhora do Carmo,southamerica/brazil/campinas/basilica_nossa_senhora_do_carmo,0.611,,,missing_coordinates; has_external_url,http://www.liceu.com.br/,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.48 is below the 6.0 POI threshold
