world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/iraq/karbala,Karbala,Karbala,6,13,see,Ruins of Mujada,0.59,candidate,has description; high-value type; strong travel term,,,Library of Al-Abbas Holy Shrine,asia/iraq/karbala/library_al_abbas,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karbala,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
australiaandpacific/newzealand/south_island/west_coast/hokitika,Hokitika,Hokitika,4,46,see,St Mary's Catholic Church,0.59,candidate,has description; high-value type; strong travel term,,,Hokitika Gorge,australiaandpacific/newzealand/south_island/west_coast/hokitika/hokitika_gorge,0.256,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hokitika,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/unitedkingdom/wales/snowdonia/betwsycoed,Betws-y-Coed,Betws-y-Coed,11,14,do,Narrow-gauge railways,0.59,candidate,has description; high-value type; strong travel term,,,Swallow Falls,europe/unitedkingdom/wales/snowdonia/betwsycoed/swallow_falls,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Betws-y-Coed,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Military Zone III Museum,0.59,candidate,has description; high-value type; strong travel term,,,Haiphong Museum,asia/vietnam/haiphong/haiphong_museum,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Haiphong,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/portugal/algarve/carvoeiro,Carvoeiro,Carvoeiro,5,9,do,Percurso dos Sete Vales Suspensos,0.59,candidate,has description; high-value type; strong travel term,,,Benagil Sea Cave,europe/portugal/algarve/carvoeiro/benagil_cave,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Carvoeiro,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/thecaribbean/cuba/baracoa,Baracoa,Baracoa,15,29,do,Cascada (Waterfall),0.59,candidate,has description; high-value type; strong travel term,,,Casa del Chocolate,northamerica/thecaribbean/cuba/baracoa/casa_del_chocolate,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Baracoa,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/costarica/jaco,Jacó,Jacó,0,26,do,Playa Hermosa,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jac%C3%B3,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/macedonia/skopje,Skopje,Skopje,11,58,see,Marko's Castle,0.59,candidate,has description; high-value type; strong travel term,,,Macedonia Square,europe/macedonia/skopje/macedonia_square,0.467,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/bhutan/jakar,Jakar,Jakar,10,20,see,Wangduecholing Palace,0.59,candidate,has description; high-value type; strong travel term,,,Tamzhing Monastery,asia/bhutan/jakar/tamzhing_monastery,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jakar,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/spain/canaryislands/isla_graciosa,La Graciosa,Graciosa (Canary Islands),3,18,see,Iglesia de Nuestra Señora del Carmen,0.59,candidate,has description; high-value type; strong travel term,,,Playa de las Conchas,europe/spain/canaryislands/isla_graciosa/playa_de_las_conchas,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Graciosa_%28Canary_Islands%29,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/vietnam/vungtau,Vung Tau,Vung Tau,11,45,do,Bãi Trước,0.59,candidate,has description; high-value type; strong travel term,,,Bạch Dinh (White Villa),asia/vietnam/vungtau/bach_dinh,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vung_Tau,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/thailand/huahin,Hua Hin,Hua Hin,41,98,see,Tham Kaeo,0.59,candidate,has description; high-value type; strong travel term,,,Hua Hin Beach,asia/thailand/huahin/hua_hin_beach,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hua_Hin,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/pakistan/peshawar,Peshawar,Peshawar,6,12,see,Goraknath Temple,0.59,candidate,has description; high-value type; strong travel term,,,Mahabat Khan Mosque,asia/pakistan/peshawar/mahabat_khan_mosque,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Peshawar,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
northamerica/netherlandsantilles/saba,Saba,Saba,7,25,do,Saba Deep Dive Center,0.59,candidate,has description; high-value type; strong travel term,,,Saba National Marine Park,northamerica/netherlandsantilles/saba/saba_marine_park,0.391,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Saba,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
asia/laos/luangprabang,Luang Prabang,Luang Prabang,15,64,do,Hike or bike across the river in Chompet,0.59,candidate,has description; high-value type; strong travel term,,,Grave of Henri Mouhot,asia/laos/luangprabang/grave_of_explorer,0.386,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Luang_Prabang,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
europe/spain/ceuta,Ceuta,Ceuta,11,29,see,Fort of El Desnarigado,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Ceuta (Santa María de la Asunción),europe/spain/ceuta/cathedral_ceuta,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
southamerica/chile/copiapo,Copiapó,Copiapó,16,9,see,Alameda Manuel Antonio Matta,0.59,candidate,has description; high-value type; strong travel term,,,Mina San José Memorial,southamerica/chile/copiapo/mina_san_jose,0.408,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Copiap%C3%B3,candidate score 0.59 is below the 6.0 POI threshold; missing coordinates and external corroboration in worker CSV
