world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/unitedkingdom/england/south_east/basingstoke,Basingstoke,Basingstoke,12,13,see,Station Kebabs,0.55,candidate,has description; high-value type,,,Milestones Museum,europe/unitedkingdom/england/south_east/basingstoke/milestones_museum,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Basingstoke,candidate score 0.55 is below the 6.0 POI threshold
europe/belgium/zottegem,Zottegem,Zottegem,9,14,see,Former brewery 'De Klok',0.55,candidate,has description; high-value type,,,Leeuwergem Castle,europe/belgium/zottegem/leeuwergem_castle,0.389,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Zottegem,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/sicily/erice,Erice,Erice,6,102,see,Emergency services,0.55,candidate,has description; high-value type,,,Ancient Walls of Erice,europe/italy/sicily/erice/phoenician_walls,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Erice,candidate score 0.55 is below the 6.0 POI threshold
asia/philippines/negrosisland/bacolod,Bacolod,Bacolod,27,97,see,Fire,0.55,candidate,has description; high-value type,,,McCafe,asia/philippines/negrosisland/bacolod/mccafe,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bacolod,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/kerikeri,Kerikeri,Kerikeri,5,31,see,Kororipo Pa,0.55,candidate,has description; high-value type,,,Kerikeri Farmers Market,australiaandpacific/newzealand/kerikeri/kerikeri_market,0.294,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kerikeri,candidate score 0.55 is below the 6.0 POI threshold
europe/russia/moscow,Moscow,Moscow,32,143,see,Slovakia,0.55,candidate,has description; high-value type,,,Vologda,europe/russia/moscow/vologda,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moscow,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/gympie,Gympie,Gympie,11,5,see,Gympie Pyramid,0.55,candidate,has description; high-value type,,,Gympie Town Hall,australiaandpacific/australia/queensland/gympie/town_hall,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gympie,candidate score 0.55 is below the 6.0 POI threshold
asia/saudiarabia/taif,Ta’if,Ta'if,12,31,see,Al-Salmaqi Dam,0.55,candidate,has description; high-value type,,,Al Shafa,asia/saudiarabia/taif/al_shafa,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ta%27if,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Norisring DTM Motor Racing (Deutsche Tourenwagen Masters),0.55,candidate,has description; high-value type,,,Ruhestörung,europe/germany/bavaria/nuremberg/ruhestoerung,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nuremberg,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/centralvalley/manteca,Manteca,Manteca,8,28,see,Pumpkin Harvest,0.55,candidate,has description; high-value type,,,Shopping in Manteca,northamerica/unitedstates/california/centralvalley/manteca/shopping,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Manteca,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,do,Surat Bike Week,0.55,candidate,has description; high-value type,,,Night Markets and Southern Thai Food,asia/thailand/surat_thani/night_markets_and_local_food,0.235,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Surat_Thani,candidate score 0.55 is below the 6.0 POI threshold
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,see,Mugg&Bean,0.55,candidate,has description; high-value type,,,Union Buildings,africa/southafrica/pretoria/union_buildings,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pretoria,candidate score 0.55 is below the 6.0 POI threshold
europe/romania/sinaia,Sinaia,Sinaia,5,10,do,Winter sports,0.55,candidate,has description; high-value type,,,Sinaia Casino,europe/romania/sinaia/sinaia_casino,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sinaia,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/california/losangeles,Los Angeles,Los Angeles,71,77,see,Ireland (Honorary),0.55,candidate,has description; high-value type,,,Koreatown,northamerica/unitedstates/california/losangeles/koreatown,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Los_Angeles,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Water mill,0.55,candidate,has description; high-value type,,,Theologos Village,europe/greece/thassos_island/theologos_village,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Thasos,candidate score 0.55 is below the 6.0 POI threshold
africa/ethiopia/harar,Harar,Harar,11,29,do,Ashura,0.55,candidate,has description; high-value type,,,Café Rimbaud,africa/ethiopia/harar/arthur_rimbaud_cafe,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harar,candidate score 0.55 is below the 6.0 POI threshold
europe/austria/villach,Villach,Villach,15,37,do,Ice-Skating,0.55,candidate,has description; high-value type,,,Villacher Fasching,europe/austria/villach/villacher_fasching,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Villach,candidate score 0.55 is below the 6.0 POI threshold
asia/iran/tehran,Tehran,Tehran,44,119,see,Talar Berelian,0.55,candidate,has description; high-value type,,,Darband,asia/iran/tehran/darband,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tehran,candidate score 0.55 is below the 6.0 POI threshold
europe/poland/gniezno,Gniezno,Gniezno,6,42,do,"Polish Amateur Film Festival ""Offeliada'",0.55,candidate,has description; high-value type,,,Gniezno Locomotive Depot,europe/poland/gniezno/gniezno_locomotive_depot,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gniezno,candidate score 0.55 is below the 6.0 POI threshold
asia/laos/phonesavanh,Phonsavan,Phonsavan,7,31,see,Nong Tang Lake,0.55,candidate,has description; high-value type,,,Muang Khoun,asia/laos/phonesavanh/muang_khoun,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Phonsavan,candidate score 0.55 is below the 6.0 POI threshold
