world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/india/tamilnadu/kodaikanal,Kodaikanal,Kodaikanal,12,40,see,Kurinjiandavar Temple,0.59,candidate,has description; high-value type; strong travel term,,,Kodai Lake,asia/india/tamilnadu/kodaikanal/kodai_lake,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kodaikanal,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/vermont/burlington,Burlington,Burlington (Vermont),8,85,see,First Methodist Church,0.59,candidate,has description; high-value type; strong travel term,,,City Market / Onion River Co-op,northamerica/unitedstates/vermont/burlington/city_market,0.392,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Burlington_%28Vermont%29,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/britishcolumbia/gold_river_britis,Gold River,Gold River (British Columbia),2,7,see,Golden Hinde,0.59,candidate,has description; high-value type; strong travel term,,,MV Uchuck III,northamerica/canada/britishcolumbia/gold_river_britis/mv_uchuck_iii,0.24,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gold_River_%28British_Columbia%29,candidate score 0.59 is below the 6.0 POI threshold
europe/france/nord/arras,Arras,Arras,9,19,see,Saint-Nicolas-en-Cité,0.59,candidate,has description; high-value type; strong travel term,,,Grand'Place,europe/france/nord/arras/grand_place,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arras,candidate score 0.59 is below the 6.0 POI threshold
europe/ukraine/chernihiv,Chernihiv,Chernihiv,6,39,see,V.Tarnovskyi Apartman Museum,0.59,candidate,has description; high-value type; strong travel term,,,Trinity-Elias Monastery,europe/ukraine/chernihiv/trinity_monastery,0.314,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chernihiv,candidate score 0.59 is below the 6.0 POI threshold
southamerica/colombia/valledupar,Valledupar,Valledupar,4,7,see,El Cuartico,0.59,candidate,has description; high-value type; strong travel term,,,Balneario Hurtado,southamerica/colombia/valledupar/balneario_hurtado,0.32,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Valledupar,candidate score 0.59 is below the 6.0 POI threshold
southamerica/frenchguiana/cayenne,Cayenne,Cayenne,10,24,do,Hiking,0.59,candidate,has description; high-value type; strong travel term,,,French Guiana Prefecture Building,southamerica/frenchguiana/cayenne/prefecture,0.256,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cayenne,candidate score 0.59 is below the 6.0 POI threshold
asia/oman/sur,Sur,Sur,6,16,see,Old Castle Museum,0.59,candidate,has description; high-value type; strong travel term,,,Ras Al-Jinz Turtle Reserve,asia/oman/sur/turtle_beach,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sur,candidate score 0.59 is below the 6.0 POI threshold
europe/spain/ceuta,Ceuta,Ceuta,11,29,see,Church of San Francisco,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Ceuta (Santa María de la Asunción),europe/spain/ceuta/cathedral_ceuta,0.39,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ceuta,candidate score 0.59 is below the 6.0 POI threshold
northamerica/honduras/bayislands/roatan,Roatán,Roatán,20,40,do,Caribbean Divers Roatán,0.59,candidate,has description; high-value type; strong travel term,,,Carambola Botanical Gardens,northamerica/honduras/bayislands/roatan/carambola_botanical_gardens,0.44,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Roat%C3%A1n,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,Gao Family Compound,0.59,candidate,has description; high-value type; strong travel term,,,Great Mosque,asia/china/shaanxi/xian/great_mosque,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xi%27an,candidate score 0.59 is below the 6.0 POI threshold
