world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/philippines/coron,Coron,Coron,16,24,do,Smiths Island,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Coron Island,asia/philippines/coron/coron_island,0.56,,,missing_coordinates; has_external_url,http://corontrip.wordpress.com/2012/04/11/day-2-island-hopping/,https://en.wikivoyage.org/wiki/Coron,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/florida/delray_beach,Delray Beach,Delray Beach,17,40,do,Silverball Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Silverball Retro Arcade,northamerica/unitedstates/florida/delray_beach/silverball_museum,0.6,,,missing_coordinates; has_external_url,http://silverballmuseum.com/delray-beach/,https://en.wikivoyage.org/wiki/Delray_Beach,candidate score 0.48 is below the 6.0 POI threshold
southamerica/ecuador/cuenca,Cuenca,Cuenca (Ecuador),7,23,see,Museo y Parque Arqueológico Pumapungo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museo Pumapungo,southamerica/ecuador/cuenca/museo_pumapungo,0.577,,,missing_coordinates; has_external_url,https://m.facebook.com/pages/category/History-Museum/Museo-Pumapungo-MCyP-145267055535049/,https://en.wikivoyage.org/wiki/Cuenca_%28Ecuador%29,candidate score 0.48 is below the 6.0 POI threshold
northamerica/canada/ontario/fort_erie,Fort Erie,Fort Erie,4,14,see,Fort Erie Museums,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Old Fort Erie,northamerica/canada/ontario/fort_erie/old_fort_erie,0.6,,,missing_coordinates; has_external_url,http://www.museum.forterie.ca/WebSite/museumweb.nsf/index.html,https://en.wikivoyage.org/wiki/Fort_Erie,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/louisiana/neworleans,New Orleans,New Orleans,33,29,do,New Orleans Jazz and Heritage Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,New Orleans Center for Creative Arts (NOCCA),northamerica/unitedstates/louisiana/neworleans/new_orleans_center,0.595,,,missing_coordinates; has_external_url,http://www.nojazzfest.com,https://en.wikivoyage.org/wiki/New_Orleans,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/hilo,Hilo,Hilo,13,59,see,Nani Mau Gardens,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Liliuokalani Gardens,northamerica/unitedstates/hawaii/hilo/liliuokalani_gardens,0.611,,,missing_coordinates; has_external_url,http://www.nanimaugardens.com/,https://en.wikivoyage.org/wiki/Hilo,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/maine/rockland_maine,Rockland,Rockland (Maine),8,17,see,Owl's Head Transportation Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Farnsworth Art Museum,northamerica/unitedstates/maine/rockland_maine/farnsworth_art_museum,0.604,,,missing_coordinates; has_external_url,http://www.ohtm.org/,https://en.wikivoyage.org/wiki/Rockland_%28Maine%29,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/alaska/seward,Seward,Seward,6,35,do,Alaska Fjord Charters,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Alaska SeaLife Center,northamerica/unitedstates/alaska/seward/alaska_sealife_center,0.619,,,missing_coordinates; has_external_url,http://www.alaskafjordcharters.com,https://en.wikivoyage.org/wiki/Seward,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/oregon/ashland,Ashland,Ashland (Oregon),5,45,do,Oregon Cabaret,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Oregon Shakespeare Festival,northamerica/unitedstates/oregon/ashland/oregon_shakespeare_festival,0.585,,,missing_coordinates; has_external_url,http://www.oregoncabaret.com/,https://en.wikivoyage.org/wiki/Ashland_%28Oregon%29,candidate score 0.48 is below the 6.0 POI threshold
europe/unitedkingdom/england/newcastle_and_north_east/northumberland/berwickontweed,Berwick-upon-Tweed,Berwick-upon-Tweed,6,14,see,Berwick Barracks and Main Guard,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Berwick Barracks,europe/unitedkingdom/england/newcastle_and_north_east/northumberland/berwickontweed/berwick_barracks,0.681,,,missing_coordinates; has_external_url,https://www.english-heritage.org.uk/visit/places/berwick-upon-tweed-barracks-and-main-guard/,https://en.wikivoyage.org/wiki/Berwick-upon-Tweed,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/newzealand/north_island/eastland/gisborne,Gisborne,Gisborne,8,18,do,Gisborne Farmers Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Gisborne Wine Region,australiaandpacific/newzealand/north_island/eastland/gisborne/gisborne_wine_region,0.605,,,missing_coordinates; has_external_url,http://www.gisbornefarmersmarket.co.nz/,https://en.wikivoyage.org/wiki/Gisborne,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/newzealand/motueka,Motueka,Motueka,5,7,do,Abel Tasman Skydive,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Abel Tasman Coast Track,australiaandpacific/newzealand/motueka/abel_tasman_coast_track,0.667,,,missing_coordinates; has_external_url,http://www.skydive.co.nz/,https://en.wikivoyage.org/wiki/Motueka,candidate score 0.48 is below the 6.0 POI threshold
australiaandpacific/newzealand/north_island/northland/paihia,Paihia,Paihia,6,14,do,The Rock Overnight Cruise,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hole in the Rock Cruise,australiaandpacific/newzealand/north_island/northland/paihia/hole_in_the_rock,0.55,,,missing_coordinates; has_external_url,http://www.rocktheboat.co.nz,https://en.wikivoyage.org/wiki/Paihia,candidate score 0.48 is below the 6.0 POI threshold
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,do,Missouri River Wine Trail,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Missouri River Waterfront,northamerica/unitedstates/missouri/jeffersoncity/missouri_river_waterfront,0.68,,,missing_coordinates; has_external_url,https://www.visitmo.com/itineraries/missouri-river-wine-trail,https://en.wikivoyage.org/wiki/Jefferson_City,candidate score 0.48 is below the 6.0 POI threshold
northamerica/canada/ontario/ottawa,Ottawa,Ottawa,23,271,do,Canada Day,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Canadian War Museum,northamerica/canada/ontario/ottawa/canadian_war_museum,0.552,,,missing_coordinates; has_external_url,https://www.ottawatourism.ca/ottawa-insider/canada-day/,https://en.wikivoyage.org/wiki/Ottawa,candidate score 0.48 is below the 6.0 POI threshold
europe/belgium/brussels,Brussels,Brussels,14,68,see,Fitness Palace,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Grand-Place,europe/belgium/brussels/grand_place,0.56,,,missing_coordinates; has_external_url,http://www.fitnesspalace.be/,https://en.wikivoyage.org/wiki/Brussels,candidate score 0.48 is below the 6.0 POI threshold
