world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/philippines/vigan,Vigan,Vigan,7,42,see,Raniag Festival,0.55,candidate,has description; high-value type,,,Vigan Heritage Village,asia/philippines/vigan/vigan_heritage_village,0.432,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vigan,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/valledupar,Valledupar,Valledupar,4,7,see,Casa De La Mama De Diomedez Diaz,0.55,candidate,has description; high-value type,,,Casa Museo del Acordeon,southamerica/colombia/valledupar/museo_del_acordeon,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Valledupar,candidate score 0.55 is below the 6.0 POI threshold
northamerica/turksandcaicosislands/providenciales,Providenciales,Providenciales,7,49,do,Dive Provo,0.55,candidate,has description; high-value type,,,Sapodilla Hill Rock Carvings,northamerica/turksandcaicosislands/providenciales/sapodilla_hill,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Providenciales,candidate score 0.55 is below the 6.0 POI threshold
europe/portugal/theazores/so_miguel/ponta_delgada,Ponta Delgada,Ponta Delgada,13,28,do,Festa do Senhor Santo Cristo dos Milagres,0.55,candidate,has description; high-value type,,,Quinta das Cruzes,europe/portugal/theazores/so_miguel/ponta_delgada/quinta_das_cruct,0.345,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ponta_Delgada,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/extremadura/merida,Mérida,Mérida (Spain),19,19,see,Rabo de Buey-San Lázaro Aqueduct,0.55,candidate,has description; high-value type,,,Co-Catedral de Santa María,europe/spain/extremadura/merida/cocatedral_santa_maria,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Spain%29,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Museu do Café,0.55,candidate,has description; high-value type,,,Mercadão de Campinas,southamerica/brazil/campinas/mercadao_campinas,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,see,Benidorm,0.55,candidate,has description; high-value type,,,Terra Mitica,europe/spain/spanishcostas/benidorm/terra_mitica,0.3,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Benidorm,candidate score 0.55 is below the 6.0 POI threshold
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,do,Debaddhani Festival,0.55,candidate,has description; high-value type,,,Guwahati Ropeway,asia/india/assam/guwahati/guwahati_ropeway,0.343,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati,candidate score 0.55 is below the 6.0 POI threshold
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,do,Koto Lessons,0.55,candidate,has description; high-value type,,,Dogo Onsen Honkan,asia/japan/shikoku/matsuyama/dogo_onsen_honkan,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Matsuyama,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/hessen/wiesbaden,Wiesbaden,Wiesbaden,16,66,see,Löwenterrasse,0.55,candidate,has description; high-value type,,,Wilhelmstraße,europe/germany/hessen/wiesbaden/wilhelmstrasse,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Wiesbaden,candidate score 0.55 is below the 6.0 POI threshold
africa/kenya/nairobi,Nairobi,Nairobi,30,113,do,Nightlife,0.55,candidate,has description; high-value type,,,Ngong Hills,africa/kenya/nairobi/ngong_hills,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nairobi,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/tubaro,Tubarão,Tubarão,4,16,see,Humberto Rohden House,0.55,candidate,has description; high-value type,,,Maria Fumaça Steam Train,southamerica/brazil/tubaro/maria_fumaca,0.233,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tubar%C3%A3o,candidate score 0.55 is below the 6.0 POI threshold
europe/denmark/skagen,Skagen,Skagen,9,17,see,Water Tower,0.55,candidate,has description; high-value type,,,Skagen Lighthouse,europe/denmark/skagen/skagen_lighthouse,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skagen,candidate score 0.55 is below the 6.0 POI threshold
asia/china/xinjiangprovince/yarkand,Yarkand,Yarkand,5,5,do,Local markets,0.55,candidate,has description; high-value type,,,Old City Quarter,asia/china/xinjiangprovince/yarkand/old_city_lanes,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yarkand,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,do,New Jersey Kayak,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Long_Beach_Island,candidate score 0.55 is below the 6.0 POI threshold
europe/unitedkingdom/england/south_east/winchester,Winchester,Winchester (England),10,36,do,South Downs Way,0.55,candidate,has description; high-value type,,,Water Meadows and the Itchen,europe/unitedkingdom/england/south_east/winchester/water_meadows,0.41,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Winchester_%28England%29,candidate score 0.55 is below the 6.0 POI threshold
asia/thailand/hatyai,Hat Yai,Hat Yai,9,109,see,Alisan Golden Coach Express,0.55,candidate,has description; high-value type,,,ASEAN Night Bazaar,asia/thailand/hatyai/asean_night_bazaar,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hat_Yai,candidate score 0.55 is below the 6.0 POI threshold
asia/pakistan/hunzavalley/gojal_valley/passu,Passu,Passu,3,8,see,Views of the Hunza river,0.55,candidate,has description; high-value type,,,Hussaini Suspension Bridge,asia/pakistan/hunzavalley/gojal_valley/passu/hussaini_suspension_bridge,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Passu,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/recife,Recife,Recife,34,154,see,Casa Manuel Bandeira/Espaço Pasárgada,0.55,candidate,has description; high-value type,,,Capela Dourada,southamerica/brazil/recife/capela_dourada,0.431,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Recife,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,Sweatbaths,0.55,candidate,has description; high-value type,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/solomonislands/guadalcanal,Guadalcanal,Guadalcanal,4,8,see,Aola Bay,0.55,candidate,has description; high-value type,,,Red Beach,australiaandpacific/solomonislands/guadalcanal/red_beach,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Guadalcanal,candidate score 0.55 is below the 6.0 POI threshold
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,do,Eid al Fitr,0.55,candidate,has description; high-value type,,,Basilique Marie-Reine-des-Apôtres,africa/cameroon/yaound/marie_reine_des_apotres,0.35,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yaound%C3%A9,candidate score 0.55 is below the 6.0 POI threshold
