world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,The renovated City center and inner courtyards,0.47,candidate,high-value type,,,Veszprém County Hall,europe/hungary/veszprem/veszprem_county_hall,0.355,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m,candidate score 0.47 is below the 6.0 POI threshold
africa/niger/niamey,Niamey,Niamey,9,52,see,Royal Air Maroc,0.47,candidate,high-value type,,,Cathedrale de Maorey,africa/niger/niamey/cathedral_de_maorey,0.438,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Niamey,candidate score 0.47 is below the 6.0 POI threshold
asia/philippines/cebu/cebucity,Cebu City,Cebu City,11,73,see,Korean Air,0.47,candidate,high-value type,,,Fort San Pedro,asia/philippines/cebu/cebucity/fortsanpedro,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cebu_City,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/campania/naples,Naples,Naples,50,160,see,Guinea,0.47,candidate,high-value type,,,Marinella,europe/italy/campania/naples/marinella,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Naples,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/berlin,Berlin,Berlin,161,123,see,Museumsinsel,0.47,candidate,high-value type,,,Bode Museum,europe/germany/berlin/bodemuseum,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Berlin,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Cripta di S. Maria della Neve,0.47,candidate,high-value type,,,Ponte Madonna della Stella,europe/italy/puglia/gravina_in_puglia/ponte_madonna_della_stella,0.519,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gravina_di_Puglia,candidate score 0.47 is below the 6.0 POI threshold
europe/austria/vienna,Vienna,Vienna,67,134,see,Cuba,0.47,candidate,high-value type,,,Wotruba Church,europe/austria/vienna/wotruba_kirche,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vienna,candidate score 0.47 is below the 6.0 POI threshold
asia/india/kolkata,Kolkata,Kolkata,2,57,see,Medicine World,0.47,candidate,high-value type,,,Practical Information in Kolkata,asia/india/kolkata/practical_information,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kolkata,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Qatar,0.47,candidate,high-value type,,,Bangsar,asia/malaysia/kualalumpur/bangsar,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,United Arab Emirates,0.47,candidate,high-value type,,,Thewet Market,asia/thailand/bangkok/thewet_market,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bangkok,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/rhinelandpalatinate/koblenz,Koblenz,Koblenz,21,18,do,Blaue Biwel,0.47,candidate,high-value type,,,Baldwin Bridge,europe/germany/rhinelandpalatinate/koblenz/baldwin_bridge,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Koblenz,candidate score 0.47 is below the 6.0 POI threshold
asia/india/kolkata,Kolkata,Kolkata,2,57,see,Dr. Bidhan Chandra Roy Seva Samity,0.47,candidate,high-value type,,,Shopping,asia/india/kolkata/shopping,0.098,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kolkata,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/marche/urbino,Urbino,Urbino,14,50,see,Monasterio delle Suore Agostiniane,0.47,candidate,high-value type,,,Oratorio di San Giuseppe,europe/italy/marche/urbino/oratorio_san_giuseppe,0.448,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Urbino,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Nigeria,0.47,candidate,high-value type,,,Kak Som Nasi Kerabu,asia/malaysia/kualalumpur/kampungbaru_nasi_kerabu,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
africa/morocco/high_atlas,High Atlas,High Atlas,7,10,see,Ouirgane,0.47,candidate,high-value type,,,Ourika Valley,africa/morocco/high_atlas/ourika_valley,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/High_Atlas,candidate score 0.47 is below the 6.0 POI threshold
europe/germany/bavaria/augsburg,Augsburg,Augsburg,16,61,see,GEPE Sportgeräteverleih UG,0.47,candidate,high-value type,,,Rathausplatz Beer Terraces,europe/germany/bavaria/augsburg/rathausplatz_terrace,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Augsburg,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Timor-Leste,0.47,candidate,high-value type,,,National Mosque,asia/malaysia/kualalumpur/nationalmosque,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/denver,Denver,Denver,71,146,see,Guatemala,0.47,candidate,high-value type,,,16th Street Mall,northamerica/unitedstates/colorado/denver/16th_street_mall,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Denver,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/texas/arlington,Arlington,Arlington (Texas),7,29,do,Spare Time Lanes Bowling Center,0.47,candidate,high-value type,,,Six Flags Over Texas,northamerica/unitedstates/texas/arlington/six_flags_over_texas,0.392,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arlington_%28Texas%29,candidate score 0.47 is below the 6.0 POI threshold
asia/pakistan/karachi,Karachi,Karachi,50,197,see,Tunisia,0.47,candidate,high-value type,,,Bus,asia/pakistan/karachi/bus,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Karachi,candidate score 0.47 is below the 6.0 POI threshold
europe/bulgaria/vratza,Vratsa,Vratsa,2,20,do,Urban Sightseeing,0.47,candidate,high-value type,,,Sights,europe/bulgaria/vratza/sights,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vratsa,candidate score 0.47 is below the 6.0 POI threshold
asia/malaysia/kualalumpur,Kuala Lumpur,Kuala Lumpur,102,107,see,Lebanon,0.47,candidate,high-value type,,,Jalan Bangkung,asia/malaysia/kualalumpur/bangsar_bangkung,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kuala_Lumpur,candidate score 0.47 is below the 6.0 POI threshold
