world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/unitedstates/maine/boothbay_harbor,Boothbay Harbor,Boothbay Harbor,5,14,see,Greytown,0.55,candidate,has description; high-value type,,,Burnt Island Light,northamerica/unitedstates/maine/boothbay_harbor/burnt_island_light,0.154,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boothbay_Harbor,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/hawaii/lanai,Lanai,Lanai,9,15,see,Nanahoa Islet,0.55,candidate,has description; high-value type,,,No Ka Oi Grille,northamerica/unitedstates/hawaii/lanai/no_ka_oi_grille,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lanai,candidate score 0.55 is below the 6.0 POI threshold
europe/italy/sardinia/isoladisanpietro/carloforte,Carloforte,Carloforte,5,19,do,Crêuza de mä,0.55,candidate,has description; high-value type,,,Carloforte Harbour and Town Centre,europe/italy/sardinia/isoladisanpietro/carloforte/carloforte_harbour,0.238,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Carloforte,candidate score 0.55 is below the 6.0 POI threshold
europe/greece/crete/lassithi_plateau,Lassithi plateau,Lasithi Plateau,1,5,do,Afentis Christos,0.55,candidate,has description; high-value type,,,Diktaean Cave,europe/greece/crete/lassithi_plateau/diktaean_cave,0.207,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lasithi_Plateau,candidate score 0.55 is below the 6.0 POI threshold
asia/china/henan_province/anyang,Anyang,Anyang,7,25,do,Cangxiang Street.,0.55,candidate,has description; high-value type,,,Huanbei Shang City,asia/china/henan_province/anyang/huanbei_shang_city,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Anyang,candidate score 0.55 is below the 6.0 POI threshold
asia/india/andhrapradesh/hyderabad,Hyderabad,Hyderabad,10,55,see,Janaki Forex,0.55,candidate,has description; high-value type,,,Golconda Fort,asia/india/andhrapradesh/hyderabad/golconda_fort,0.48,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hyderabad,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Bismarck-Tower,0.55,candidate,has description; high-value type,,,Stadtpark Bochum,europe/germany/northrhinewestphalia/bochum/stadtpark_bochum,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bochum,candidate score 0.55 is below the 6.0 POI threshold
southamerica/colombia/cartagena,Cartagena,Cartagena (Colombia),36,81,do,Fiesta de Nuestra Señora de La Candelaria,0.55,candidate,has description; high-value type,,,Fuerte de San Sebastián del Pastelillo,southamerica/colombia/cartagena/san_sebastian_pastelillo,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cartagena_%28Colombia%29,candidate score 0.55 is below the 6.0 POI threshold
asia/laos/savannakhet,Savannakhet,Savannakhet,4,32,do,Teach English,0.55,candidate,has description; high-value type,,,That Ing Hang Stupa,asia/laos/savannakhet/thatinghang,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Savannakhet,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/southdakota/siouxfalls,Sioux Falls,Sioux Falls,9,54,do,Country Apple Orchard,0.55,candidate,has description; high-value type,,,Falls Park,northamerica/unitedstates/southdakota/siouxfalls/falls_park,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sioux_Falls,candidate score 0.55 is below the 6.0 POI threshold
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,do,Cinepolis Movie Theaters,0.55,candidate,has description; high-value type,,,Plaza de los Tres Poderes,northamerica/mexico/mexicali/plaza_tres_poderes,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexicali,candidate score 0.55 is below the 6.0 POI threshold
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,see,Fragbox,0.55,candidate,has description; high-value type,,,Le Flon,europe/switzerland/lausanne/flon,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Lausanne,candidate score 0.55 is below the 6.0 POI threshold
asia/cambodia/kep,Kep,Kep,6,24,see,Kampot Pepper,0.55,candidate,has description; high-value type,,,Kep Beach,asia/cambodia/kep/kep_beach,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kep,candidate score 0.55 is below the 6.0 POI threshold
southamerica/brazil/ponta_grossa,Ponta Grossa,Ponta Grossa,5,19,see,Alagados Reservoir,0.55,candidate,has description; high-value type,,,Buraco do Padre,southamerica/brazil/ponta_grossa/buraco_do_padre,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ponta_Grossa,candidate score 0.55 is below the 6.0 POI threshold
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,Georgia (Honorary),0.55,candidate,has description; high-value type,,,Caffe Vittoria,northamerica/unitedstates/massachusetts/boston/caffe_vittoria,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boston,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/rhinelandpalatinate/mosel/cochem,Cochem,Cochem,5,39,do,Stroll along the Moselle,0.55,candidate,has description; high-value type,,,Mosel Boat Trips,europe/germany/rhinelandpalatinate/mosel/cochem/mosel_boat_trips,0.278,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cochem,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/frenchpolynesia/moorea,Moorea,Moorea,13,21,do,Surfing,0.55,candidate,has description; high-value type,,,Lagoon Excursion,australiaandpacific/frenchpolynesia/moorea/lagoon_excursion,0.348,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Moorea,candidate score 0.55 is below the 6.0 POI threshold
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,do,Platja des Poal,0.55,candidate,has description; high-value type,,,Sant Pere de Rodes Monastery,europe/spain/catalonia/cadaqus/sant_pere_de_rodes,0.333,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s,candidate score 0.55 is below the 6.0 POI threshold
australiaandpacific/newzealand/palmerstonnorth,Palmerston North,Palmerston North,13,32,do,Manawatu Gorge walking track,0.55,candidate,has description; high-value type,,,Te Manawa,australiaandpacific/newzealand/palmerstonnorth/te_manawa,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Palmerston_North,candidate score 0.55 is below the 6.0 POI threshold
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Dress code,0.55,candidate,has description; high-value type,,,Sule Pagoda,asia/myanmar/yangon/sule_pagoda,0.381,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yangon,candidate score 0.55 is below the 6.0 POI threshold
europe/germany/bavaria/nuremberg,Nuremberg,Nuremberg,26,125,do,Tag der offenen Tür,0.55,candidate,has description; high-value type,,,Schöner Brunnen,europe/germany/bavaria/nuremberg/schoener_brunnen,0.412,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nuremberg,candidate score 0.55 is below the 6.0 POI threshold
africa/malawi/blantyre,Blantyre,Blantyre,3,11,see,Manuel maulid,0.55,candidate,has description; high-value type,,,Mandala House,africa/malawi/blantyre/mandala_house,0.308,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Blantyre,candidate score 0.55 is below the 6.0 POI threshold
