world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Ko Yung,0.59,candidate,has description; high-value type; strong travel term,,,Long Beach (Ao Rantee),asia/thailand/kohphiphi/long_beach,0.353,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,see,Lafayette Park,0.59,candidate,has description; high-value type; strong travel term,,,Riverfront Park,northamerica/unitedstates/florida/thepanhandle/apalachicola/riverfront_park,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Apalachicola,candidate score 0.59 is below the 6.0 POI threshold
northamerica/thecaribbean/guadeloupe/grandeterre,Grande-Terre,Grande-Terre,11,19,see,Schoelcher Museum,0.59,candidate,has description; high-value type; strong travel term,,,La Canne à Sucre,northamerica/thecaribbean/guadeloupe/grandeterre/la_canne_a_sucre,0.357,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Grande-Terre,candidate score 0.59 is below the 6.0 POI threshold
europe/azerbaijan/saki,Sheki,Sheki,1,30,see,Khansarai,0.59,candidate,has description; high-value type; strong travel term,,,Eating Out,europe/azerbaijan/saki/eating_out,0.211,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Sheki,candidate score 0.59 is below the 6.0 POI threshold
asia/china/shandong_province/qingdao,Qingdao,Qingdao,12,108,do,Qingdao Spring Festival Cultural Temple Fair,0.59,candidate,has description; high-value type; strong travel term,,,Qingdao Aquarium,asia/china/shandong_province/qingdao/qingdao_aquarium,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Qingdao,candidate score 0.59 is below the 6.0 POI threshold
asia/china/heilongjiang/harbin,Harbin,Harbin,7,108,see,Huining Fu,0.59,candidate,has description; high-value type; strong travel term,,,Zhongyang Dajie (Central Street),asia/china/heilongjiang/harbin/zhongyang_dajie,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harbin,candidate score 0.59 is below the 6.0 POI threshold
northamerica/canada/alberta/reddeer,Red Deer,Red Deer,7,46,do,Biking – Red Deer Mountain Bike Park,0.59,candidate,has description; high-value type; strong travel term,,,Red Deer Museum and Art Gallery,northamerica/canada/alberta/reddeer/red_deer_museum,0.462,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Red_Deer,candidate score 0.59 is below the 6.0 POI threshold
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,Little Poster Museum,0.59,candidate,has description; high-value type; strong travel term,,,Margravial Opera House,europe/germany/bavaria/bayreuth/margravial_opera_house,0.476,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bayreuth,candidate score 0.59 is below the 6.0 POI threshold
northamerica/unitedstates/northcarolina/charlotte,Charlotte,Charlotte,13,24,do,Scarowinds,0.59,candidate,has description; high-value type; strong travel term,,,South End,northamerica/unitedstates/northcarolina/charlotte/south_end,0.421,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Charlotte,candidate score 0.59 is below the 6.0 POI threshold
europe/finland/helsinki,Helsinki,Helsinki,56,99,do,Joulu,0.59,candidate,has description; high-value type; strong travel term,,,Olo,europe/finland/helsinki/olo_restaurant,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Helsinki,candidate score 0.59 is below the 6.0 POI threshold
africa/zimbabwe/harare,Harare,Harare,8,48,see,Cathedral of St Mary and All Saints,0.59,candidate,has description; high-value type; strong travel term,,,Harare Gardens,africa/zimbabwe/harare/hararegardens,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Harare,candidate score 0.59 is below the 6.0 POI threshold
asia/iran/kishisland,Kish island,Kish Island,8,30,see,Mysteries of the World Zoo,0.59,candidate,has description; high-value type; strong travel term,,,Kish North Beach,asia/iran/kishisland/kish_beach,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Kish_Island,candidate score 0.59 is below the 6.0 POI threshold
asia/israel/nazareth,Nazareth,Nazareth,10,20,see,The Ethnological Museum,0.59,candidate,has description; high-value type; strong travel term,,,White Mosque,asia/israel/nazareth/white_mosque,0.387,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nazareth,candidate score 0.59 is below the 6.0 POI threshold
africa/southafrica/portelizabeth,Port Elizabeth,Port Elizabeth,10,66,see,Shamwari Game Reserve,0.59,candidate,has description; high-value type; strong travel term,,,Donkin Reserve,africa/southafrica/portelizabeth/donkin_reserve,0.514,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Port_Elizabeth,candidate score 0.59 is below the 6.0 POI threshold
europe/romania/piatraneamt,Piatra Neamț,Piatra Neamț,6,38,see,Biserica Schimbarea la faţă,0.59,candidate,has description; high-value type; strong travel term,,,Bicaz Gorge,europe/romania/piatraneamt/bicaz_gorge,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Piatra_Neam%C8%9B,candidate score 0.59 is below the 6.0 POI threshold
africa/libya/tripoli,Tripoli,Tripoli,12,22,see,Jamal Abdul Nasser Mosque,0.59,candidate,has description; high-value type; strong travel term,,,Karamanli Mosque,africa/libya/tripoli/karamanlimosque,0.537,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tripoli,candidate score 0.59 is below the 6.0 POI threshold
asia/india/punjab/chandigarh,Chandigarh,Chandigarh,21,37,see,International Dolls Museum,0.59,candidate,has description; high-value type; strong travel term,,,Indian Air Force Heritage Museum,asia/india/punjab/chandigarh/iaf_heritage_museum,0.448,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chandigarh,candidate score 0.59 is below the 6.0 POI threshold
asia/kazakhstan/almaty,Almaty,Almaty,20,51,see,Memorial Museum of Nurgisa Tlendiev,0.59,candidate,has description; high-value type; strong travel term,,,Central State Museum of Kazakhstan,asia/kazakhstan/almaty/central_state_museum,0.522,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Almaty,candidate score 0.59 is below the 6.0 POI threshold
