world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url,reject_reason
northamerica/mexico/mexicocity,Mexico City,Mexico City,52,141,see,Honduras,0.47,candidate,high-value type,,,Condesa,northamerica/mexico/mexicocity/condesa,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Mexico_City,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/colorado/breckenridge,Breckenridge,Breckenridge (Colorado),15,40,do,Trekking and Orienteering,0.47,candidate,high-value type,,,Reiling Dredge,northamerica/unitedstates/colorado/breckenridge/reiling_dredge,0.513,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Breckenridge_%28Colorado%29,candidate score 0.47 is below the 6.0 POI threshold
northamerica/unitedstates/massachusetts/boston,Boston,Boston,64,72,see,Sweden (Honorary),0.47,candidate,high-value type,,,Al Dente,northamerica/unitedstates/massachusetts/boston/aldente,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Boston,candidate score 0.47 is below the 6.0 POI threshold
europe/macedonia/skopje,Skopje,Skopje,11,58,see,Kosovo,0.47,candidate,high-value type,,,Skopje Fortress (Kale),europe/macedonia/skopje/skopje_fortress,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Skopje,candidate score 0.47 is below the 6.0 POI threshold
asia/thailand/pattaya,Pattaya,Pattaya,9,124,see,Pattaya Postal Service,0.47,candidate,high-value type,,,Phra Tamnak Hill,asia/thailand/pattaya/phra_tamnak_hill,0.368,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya,candidate score 0.47 is below the 6.0 POI threshold
northamerica/dominicanrepublic/higuey,Higüey,Higüey,3,6,see,Bavaro,0.47,candidate,high-value type,,,Santuario de San Dionisio,northamerica/dominicanrepublic/higuey/santuario_san_dionisio,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hig%C3%BCey,candidate score 0.47 is below the 6.0 POI threshold
europe/italy/marche/urbino,Urbino,Urbino,14,50,see,Oratorio della Morte,0.47,candidate,high-value type,,,Oratorio di San Giuseppe,europe/italy/marche/urbino/oratorio_san_giuseppe,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Urbino,candidate score 0.47 is below the 6.0 POI threshold
australiaandpacific/australia/queensland/gladstone,Gladstone,Gladstone (Queensland),3,13,see,Calliope River Historical Village,0.47,candidate,high-value type,,,Gladstone Regional Art Gallery and Museum,australiaandpacific/australia/queensland/gladstone/gladstone_art_gallery,0.324,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Gladstone_%28Queensland%29,candidate score 0.47 is below the 6.0 POI threshold
europe/belgium/brussels,Brussels,Brussels,14,68,see,Basilica of the Sacred Heart,0.47,candidate,high-value type,,,Belgian Centre for Comic Strip Art,europe/belgium/brussels/comic_strip_museum,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Brussels,candidate score 0.47 is below the 6.0 POI threshold
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,do,Vagheshwari Mandir,0.47,candidate,high-value type,,,Mahabat Maqbara,asia/india/gujarat/junagadh/mahabat_maqbara,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh,candidate score 0.47 is below the 6.0 POI threshold
asia/china/jiangsu_province/suqian,Suqian,Suqian,5,23,see,Police phone number,0.47,candidate,high-value type,,,Hongze Lake,asia/china/jiangsu_province/suqian/hongze_lake,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Suqian,candidate score 0.47 is below the 6.0 POI threshold
europe/sweden/gvle,Gävle,Gävle,5,44,see,Testeboån delta,0.47,candidate,high-value type,,,Prison Museum of Sweden,europe/sweden/gvle/prison_museum,0.316,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/G%C3%A4vle,candidate score 0.47 is below the 6.0 POI threshold
africa/ghana/accra,Accra,Accra,35,73,see,Nigeria,0.47,candidate,high-value type,,,Nima,africa/ghana/accra/nima,0.545,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Accra,candidate score 0.47 is below the 6.0 POI threshold
